title,text,subject,date,label
vote senate  dreamers  hinges bipartisan pact  mcconnell,washington  reuters    u s  senate majority leader mitch mcconnell wednesday said would bring “dreamers” immigration bill senate floor bipartisan negotiations senators trump administration produce agreement end january  mcconnell also said statement would offer measure “free standing vote ” without specifying would occur  many supporters immigration initiative argued would best prospects passage coupled must pass bill spending measure early next year potentially increases military spending  immigration measure would designed protect undocumented immigrants brought united states children  democrats congress pressing passage well early march  obama era program due completely phased trump administration  earlier wednesday  republican u s  senator jeff flake said statement mcconnell promised bring bill full senate next month  flake one group seven democratic republican senators negotiating bill  former president barack obama s deferred action childhood arrivals order temporarily protected around 800 000 dreamers deportation  president donald trump announced september terminating program asked congress devise permanent solution march  san francisco federal judge wednesday wrestled whether order government keep daca place  lawsuits challenging trump s decision unfold  hearing  u s  district judge william alsup questioned whether authority review decision end daca  also said administration s justification move brief “conclusory ” alsup rule bench  one plaintiffs  daca recipient dulce garcia  attended hearing said sixth day hunger strike intended urge lawmakers make protection daca recipients condition passage federal spending bills  democratic senator dick durbin said statement  “bipartisan negotiations continue we re fighting pass measure soon ” provide details progress made talks  bipartisan group senators led durbin republican lindsey graham holding private negotiations many dreamers would covered legislation giving temporary legal status whether would ultimately allowed apply u s  citizenship  negotiations complicated republican demands increased border security included legislation  republicans also clamoring immigration enforcement throughout united states  democrats opposed part dreamer measure  saying way trump administration step deportations undocumented relatives dreamers  thus breaking families currently united states ,politicsNews,"December 20, 2017 ",real
green groups sue trump administration delay methane rule,washington  reuters    coalition nearly 20 environmental native american tribal groups sued trump administration tuesday  challenging delay rule limiting emissions powerful greenhouse gas methane oil gas drilling operations federal lands  earlier month  bureau land management  part department interior  suspended implementation rule year  jan  17  2019  saying wanted avoid compliance costs energy companies revises regulation  delay “is yet another action taken trump administration benefit oil gas industry expense american public  particularly millions westerners” use public lands ranching  hunting  hiking purposes  darin schroeder  lawyer clean air task force  said statement  organization represented national wildlife federation  one groups filed lawsuit interior secretary ryan zinke department  energy companies say rule  finalized end obama administration 2016  could cost tens thousands dollars per well  trump administration expected announce new draft rule coming weeks  line policy maximizing output oil  gas coal dismantling regulations says prevent job growth  rule targets accidental leaks intentional venting methane drilling operations public lands  9 percent country s natural gas 5 percent oil produced last fiscal year  2017 provisions already phased in  majority yet go effect  lawsuit  also filed sierra club  environmental defense council  diné citizens ruining environment  navajo group  seeks stop delay force interior department implement rule january  filed u s  district court northern district california san francisco  interior department immediately respond request comment lawsuit ,politicsNews,"December 19, 2017 ",real
callista gingrich becomes trump s envoy pope differences mount,vatican city  reuters    callista gingrich  wife former speaker u s  house representatives  friday became u s  ambassador vatican  odds washington immigration  climate change jerusalem  callista gingrich  51  author  documentary filmmaker former congressional aide  presented credentials pope francis vatican officially assume role  husband newt gingrich early supporter vocal ally u s  president donald trump  newt gingrich expected continue role political contributor fox news new base rome  trump s nomination callista gingrich post holy see may caused controversy marriage gingrich  became involved still married second wife  roman catholic  thursday attended funeral vatican cardinal bernard law  resigned archbishop boston 15 years ago covering years sexual abuse children priests  pope implicitly criticized trump s decision pull paris accord climate change  said last month denying climate change indifferent effects “perverse attitudes” blocked research dialogue aimed protecting future planet  francis also opposed trump s decision recognize jerusalem israel s capital  pontiff called respect city s “status quo ” saying new tension middle east would inflame world conflicts   thursday united nations  vatican permanent observer status  120 countries defied trump voted favor resolution calling united states drop recent recognition  u s  embassy said statement new ambassador “looks forward working holy see defend human rights  advance religious freedom  combat human trafficking  seek peaceful solutions crises around world” ,politicsNews,"December 22, 2017 ",real
senator cornyn trying get big corn behind u s  biofuels reform, reuters    senator john cornyn  no  2 senate republican  trying win support midwest corn lobby broad legislative overhaul nation s biofuels policy  according sources familiar matter  effort comes president donald trump s white house mediates talks rival oil corn industries renewable fuel standard  requires oil refiners blend increasing amounts corn based ethanol biofuels nation s fuel supply every year  oil refiners say regulation costs hundreds millions dollars year threatening put handful nation s refineries business  ethanol interests far refused budge proposals change it  cornyn “is working hard unify stakeholders consensus effort reform renewable fuel standard ” aide senator told reuters  aide  asked named  provide details  cornyn  texas  u s  state home oil refineries  part senate s leadership team  responsible securing votes needed pass republican party s legislative agenda  two lobbyists oil refining industry said cornyn success cobbling together coalition lawmakers stakeholders around potential rfs reform bill could dropped early next year  however  similar efforts unify rival factions fallen flat past  effort would need buy in legislative backers ethanol industry  like republican senators chuck grassley joni ernst iowa  top producing state corn  officials senators respond repeated requests comment  grassley ernst previously repeatedly expressed intention defend rfs current form  white house hosting negotiations sides issue short term remedies provide relief refiners struggling existing regulation  refining industry says compliance costs hundreds millions dollars year  threatens put refineries business  refineries adequate facilities blend ethanol gasoline must purchase blending credits  called rins  rivals do  rin prices risen recent years amount biofuels required rfs increased  refineries buy rins include philadelphia energy solutions monroe energy  pennsylvania  valero energy corp texas  valero said rins cost around  750 million last year  though competing arguments whether refiners pass along costs  senator ted cruz  also texas  last week sent proposal white house cap price rins 10 cents each  fraction current price  proposal widely rejected ethanol industry  ethanol industry said past placing caps credits non starter  instead argued policies increase volumes ethanol u s gasoline supply  industry claims would boost supplies credits  lowering prices  prices renewable fuel credits fallen recent weeks reports discussions washington  price hit 68 cents wednesday  nearing seven month low  according traders oil price information services  white house yet commented cruz s proposal  rfs introduced former president george w  bush way boost u s  agriculture  slash energy imports cut emissions  since fostered market ethanol amounting 15 billion gallons year  refining industry pressed trump administration repeatedly adopt reforms would lower credit costs otherwise ease burden refineries  ethanol industry successfully defeated efforts far ,politicsNews,"December 20, 2017 ",real
bad news trump  mitch mcconnell says repealing obamacare ,republicans seven years come viable replacement obamacare failed miserably  taking victory lap gifting wealthy tax break wednesday  donald trump looked cameras said  essentially repealed obamacare come something much better  obamacare repealed bill  added  well  like things trump says  true  but  former reality show star could done order eradicate former president obama signature legislation  would without offering alternative senate majority leader mitch mcconnell told npr bipartisan year  hope new year  going pivot become cooperative  obamacare repeal 2018 doa  well  obviously unable completely repeal replace 52 48 senate  kentucky republican said  take look looks like 51 49 senate  think probably move issues  npr reports mcconnell hopes focus instead stabilizing insurance marketplaces keep premiums skyrocketing early months 2018  promise made moderate republican sen  susan collins maine get support tax bill on top mcconnell broke house speaker paul ryan  r wis   approach paring back spending programs like medicaid food stamps  mcconnell told npr interested using senate budget rules allow republicans cut entitlements without consultation democrats  think entitlement changes  sustained  almost always bipartisan  mcconnell said  house may different agenda  democratic friends senate want join us tackle kind entitlement reform  happy take look it  coming mitch mcconnell  knows donald trump destroying gop  matter  sen  mcconnell  still recall saying number one priority making sure president obama one term president  well  hoping trump last full term  funny works photo chip somodevilla getty images,News,"December 21, 2017",fake
new york times reports there s actual russian agent congress code name,year ago  house majority leader kevin mccarthy caught  oops  hot mic saying two people washington paid russians donald trump california gop  rep dana rohrabacher  sadly  two people still office a new report new york times  though  confirms half mccarthy comments  rohrabacher paid russians  russian agent  code name  even new information according times report  fbi warned rohrbacher 2012 russians viewed source given code name  next year  congress elevated chairmanship foreign affairs subcommittee overseas russian policy  nope  nothing fishy there rohrabacher seem much involvement trump campaign  that would obvious  even russians   special investigator robert mueller eyeing nonetheless as revelations russia campaign influence american politics consume washington  mr  rohrabacher  70  known role trump election campaign  come political investigative scrutiny  f b i  senate intelligence committee seeking interview august meeting julian assange  founder wikileaks  mr  rohrabacher said  special counsel  robert s  mueller iii  said interested meeting last year michael t  flynn  mr  trump short lived national security adviser rohrabacher russian connections go back years  though  young reaganite  got warm fuzzies fall soviet union developed relationship vladimir putin  90s  rohrabacher lost arm wrestling match man would become president life  whatever hell putin calls himself rohrabacher  naturally  denies russian agent mr  rohrabacher laughed suggestions russian asset  said interview remember briefed russians viewed source  f b i  senior members house intelligence committee sat mr  rohrabacher capitol 2012 warn russian spies trying recruit him  according two former intelligence officials  remember telling me  targeted recruited agent  said  stupid that  only  actions paint different picture  2016  served might called delivery boy russia either trump campaign rnc  picked memo targeting democratic donors  rohrabacher also met wikileaks julian assange russian  accused criminal  oligarchs rohrabacher insists nothing untoward going on  goal  says  bring russia help us battle terrorism  fair  russia could help rein terrorism  would stop funding terrorists  like syrian president bashir assad republicans finding bit easier distance rohrabacher alleged russian agent  donald trump  limiting power foreign affairs committee politically  could disaster rohrabacher  facing tough race california  better believe opponents using russian connections him hans keirstead  prominent stem cell researcher competing five democrats challenge mr  rohrabacher  compared republican russia record prologue bad book  got russian tainted congressman  mr  keirstead said interview  adding constituents 48th district vote individual whose interests elsewhere  course  rohrabacher  like anyone trained dictator 101  fundraising it  calling attack  featured image via adam berry getty images ,News,"November 22, 2017",fake
sources confirm robert mueller s office interviewed jared kushner several weeks ago,jared kushner  senior white house adviser son in law president donald trump  interviewed special counsel robert mueller office beginning november  according source familiar process  part interview lasted approximately 90 minutes  kushner quizzed mainly interactions  meetings  general contact former national security adviser michael flynn  well son  regards flynn private business dealings firm  flynn intel group  mr  kushner voluntarily cooperated relevant inquiries continue so  kushner attorney  abbe lowell  said statement given nbc news the news kushner interview first came light grand jury testimony related flynn private business dealings postponed prosecutors working mueller  reason still unclear  postponement came week flynn attorneys alerted president trump legal team information related case could longer shared two parties  allowed publicly comment matter  uncommon defense teams share information  practice considered unethical conflict interest arises  donald trump ever particularly concerned matters trivial ethics  fact flynn attorneys longer sharing information trump legal team way proof flynn cooperating special counsel  decent sign working them  trump team expecting quite time  probably plea deal  jay sekulow  member president trump legal team  told cbs news earlier month  assumption  plea necessarily mean anything president  manafort indictment anything campaign trump  michael flynn served head defense intelligence agency fired position 2014 former president barack obama  however  still retained security clearance  even trump presidential campaign transition white house flynn role terminated 23 days trump presidency  possible cooperation flynn prosecution could give mueller counsel insight trump campaign operations potential dealings russia  well first weeks presidency the fbi already looking flynn trump lobbying flynn intel group research work unfinished film firm paid  530 000 turkish businessman  employees sphere consulting  public relations work film  turning documents requested mueller investigators sitting voluntary interviews several months featured image via olivier douliery pool getty images,News,"November 30, 2017",fake
ivanka defends malia obama attacks  dad s fans won t stop  she looks like baboon ,ivanka trump chelsea clinton defended malia obama conservative websites published breaking news showing former president daughter acting like 19 year old college student  is  obama seen one photo kissing harvard university boyfriend  video circulated showing blowing smoke rings reason  made trump supporters heads explode  malia obama allowed privacy school aged peers  ivanka trump tweeted  young adult private citizen  limits  malia obama allowed privacy school aged peers  young adult private citizen  limits  ivanka trump   ivankatrump  november 24  2017trump fans it  woman suggested malia obama bragged somehow broke law blowing smoke rings maybe girls drinking underage brag going adult clubs  regular citizens would arrested  protected allowed break laws michelle naylor   michell18500924  november 24  2017sorry disagree there  key word adult  young old still adult celina maccadanza   celinasivret  november 24  2017 looks like baboon blows smoke rings     randall weems    many asking ga   dsarubshands  november 24  2017she bad apple rotting barrel ww   ww300mag  november 24  2017chelsea clinton weighed in  too  malia obama private life  young woman  college student  private citizen  clickbait  wrote  better  malia obama private life  young woman  college student  private citizen  clickbait  better  chelsea clinton   chelseaclinton  november 24  2017that  too  fell deaf ears yes high road  much trashed trump    selective bullying  malia deserves bashing getting  let hear michelle talk anti smoking schockerone   myjuiceplusbiz  november 24  2017barron trump child  hypocrisy dee   dee33305261  november 24  2017it somehow racist pick obama daughter funny prior presidents kids picked media  obama kids  horrible double standard  racist  darren gaskin   kentuckyrunner  november 24  2017we need lectured clinton  better marietweets   mkues65  november 24  2017ivanka finally said something us agree father supporters going let up photo sean gallup getty images ,News,"November 24, 2017",fake
bill could make congress members liable harassment payouts,washington  reuters    lawmakers parties working legislation would make members congress liable settlements sexual harassment claims them  new data shows public funds used settle nearly dozen cases misconduct last decade  2008 2012  employment office congress paid  166 000 public money settle eight claims lawmakers alleging sexual harassment discrimination  according data provided tuesday representative gregg harper  republican chairman house administration committee drafting bill overhaul congress handles sexual harassment  office compliance previously said resolved three cases since 2013  provisions settlement agreements legal limits block office disclosing details payouts made behalf lawmakers  including identities involved  issue come light allegations misconduct swirl around capitol hill  growing wave women reporting abuse misconduct brought powerful men recently  movie producer harvey weinstein popular television personality matt lauer  well one longest serving democrats congress  former representative john conyers  harper said tuesday hopes file bipartisan bill wednesday evening overhauling congress handles sexual harassment would include making lawmakers personally liable settlements  “they reimburse” government payouts  told reporters  “there s doubt members made clear taxpayer dollars used purposes settling sexual harassment claim ” harper expects swift action  house voting bill next month  democratic representative jackie speier  proposed similar legislation working harper republicans  said “thrilled” bill  bipartisan legislation sexual harassment introduced senate last week  letter harper compliance office s executive director said paid  354 465 85 settle 16 total claims employment discrimination  retaliation harassment fiscal 2008 fiscal 2012  according letter  eight claims included sexual harassment discrimination  often involved violations breaking federal wage rules  two claims simply categorized “retaliation” rest focused racial  age disability discrimination  largest amount paid years  85 000  labeled “sexual harassment harassment retaliation ” office investigatory authority cannot probe allegations  said executive director susan tsui grundmann letter  settlements typically nondisclosure provisions  said  adding office found admission liability settlement documents ,politicsNews,"December 19, 2017 ",real
sitting gop senator enough  donates alabama democrat senate  image ,arizona republican senator jeff flake never fan donald trump incendiary  divisive brand politics  now  leading gop voice electing roy moore  r al  united states senate  moore accused child molester  lifetime history making kinds bigoted incendiary comments  said homosexuality illegal  muslims allowed serve congress  moore also removed twice alabama supreme court refusing comply higher court rulings  well  flake finally enough party enabling characters like moore  already said lived alabama  voting democrat doug jones  now  flake taken support jones even further  wake republican national committee decision support accused child molester rather democrat taking twitter  senator flake posted image check made doug jones senate campaign  tweet  captioned country party  country party pic twitter com jzmtaeydxq jeff flake   jeffflake  december 5  2017now  agree jeff flake anything politically  say trying act morality decency here  one could argue flake plans retire senate mean without consequence  point  matters not  need pedophile united states senate  gop apparatus ashamed trying get roy moore elected  but  hey better pedophile democrat  right featured image drew angerer getty images,News,"December 5, 2017",fake
